objectid,dc_key,dispatch_date,hour,location_block,dc_dist,ucr_general,text_general_code,latitude,longitude
36302555,202522076343,NA,12,2900 BLOCK W GORDON ST,22,100,Homicide - Criminal,39.991669828231,-75.179833781495
36302565,202516018752,NA,13,3800 BLOCK FOLSOM ST,16,100,Homicide - Criminal,39.967306898881,-75.198206781961
36302566,202524037066,NA,9,3800 BLOCK PALMETTO ST,24,100,Homicide - Criminal,40.005471865003,-75.108691215349
36302582,202505000707,NA,15,4800 BLOCK TIBBEN ST,05,100,Homicide - Criminal,40.035769998414,-75.226833130138
36302609,202512000002,NA,0,6000 BLOCK CHESTER AV,12,100,Homicide - Criminal,39.933550008529,-75.231538842734
36302623,202512026710,NA,23,7000 BLOCK ELMWOOD AV,12,100,Homicide - Criminal,39.917125004747,-75.237433645228
36302649,202522077557,NA,23,3200 BLOCK RIDGE AV,22,100,Homicide - Criminal,39.990613402488,-75.185029198616
36302672,202505021415,NA,10,500 BLOCK WARTMAN ST,05,100,Homicide - Criminal,40.045522743099,-75.229514768479
36302682,202535011537,NA,21,6300 BLOCK N LAMBERT ST,35,100,Homicide - Criminal,40.050538093662,-75.154690609411
36302705,202515058061,NA,21,2900 BLOCK LEVICK ST,15,100,Homicide - Criminal,40.031470943975,-75.06326172288
36302713,202519033142,NA,18,3900 BLOCK LANKENAU AV,19,100,Homicide - Criminal,40.001048758733,-75.207141669787
36302728,202525002815,NA,7,5000 BLOCK RORER ST,25,100,Homicide - Criminal,40.02501388784,-75.114591399308
36302772,202505003893,NA,19,800 BLOCK BELLS MILL RD,05,100,Homicide - Criminal,40.070676504094,-75.241117401254
36302778,202512058001,NA,21,1800 BLOCK S YEWDALL ST,12,100,Homicide - Criminal,39.935968142421,-75.219401574718
36302795,202503040760,NA,23,600 BLOCK MOUNTAIN ST,03,100,Homicide - Criminal,39.92791391124,-75.155544697344
36302815,202524061016,NA,2,2900 BLOCK SALMON ST,24,100,Homicide - Criminal,39.979682594781,-75.109456443955
36302817,202525012721,NA,3,3400 BLOCK N 5TH ST,25,100,Homicide - Criminal,40.00286168993,-75.137910025546
36302845,202422091536,NA,21,1800 BLOCK W DIAMOND ST,22,100,Homicide - Criminal,39.985496454905,-75.163035857231
36302846,202422091536,NA,21,1800 BLOCK W DIAMOND ST,22,100,Homicide - Criminal,39.985496454905,-75.163035857231
36302854,202535085403,NA,5,400 BLOCK W GRANGE AV,35,100,Homicide - Criminal,40.03923553523,-75.128066517527
36302944,202539097285,NA,20,3600 BLOCK N 17TH ST,39,100,Homicide - Criminal,40.008351742521,-75.15643642802
36302977,202515060996,NA,19,6300 BLOCK REVERE ST,15,100,Homicide - Criminal,40.031423926033,-75.066314978296
36302986,202516004929,NA,10,700 BLOCK N 47TH ST,16,100,Homicide - Criminal,39.965064543017,-75.215344275539
36303050,202139010804,NA,9,1600 BLOCK ROWAN ST,39,100,Homicide - Criminal,40.019800613382,-75.153523671181
36303129,202512003688,NA,16,2100 BLOCK S 58TH ST,12,100,Homicide - Criminal,39.933396973264,-75.225863299636
36303874,202524040655,NA,16,3500 BLOCK KENSINGTON AV,24,100,Homicide - Criminal,40.000400762644,-75.106424689368
36303878,202519009879,NA,18,600 BLOCK N 56TH ST,19,100,Homicide - Criminal,39.968878375695,-75.232311458777
36303903,202539007539,NA,19,2800 BLOCK N CROSKEY ST,39,100,Homicide - Criminal,39.997381152849,-75.168099667035
36303932,202514024681,NA,16,100 BLOCK W UPSAL ST,14,100,Homicide - Criminal,40.046329467112,-75.185261093838
36303945,202514070617,NA,7,1600 BLOCK E TULPEHOCKEN ST,14,100,Homicide - Criminal,40.060740580583,-75.160999456961
36303953,202526024635,NA,9,1800 BLOCK E ALBERT ST,26,100,Homicide - Criminal,39.989234296485,-75.126455802791
36303957,202539056478,NA,20,1900 BLOCK W HUNTING PARK AV,39,100,Homicide - Criminal,40.01359801207,-75.158716257566
36303958,202539056324,NA,20,1900 BLOCK W HUNTING PARK AV,39,100,Homicide - Criminal,40.01359801207,-75.158716257566
36303959,202539049532,NA,2,1900 BLOCK W HUNTING PARK AV,39,100,Homicide - Criminal,40.01359801207,-75.158716257566
